Corporation,project_code,j_name,lat,long,footpath,refuge_islands,signals,cctv,vehicular_light,lane_marking,pedestrian_crossing,median_island,table_top,landscape,cat_eyes,traffic_police_chowk,street_furniture,median,pavers,tactile_pavers,rumble_strips,pedestrian_light,signage,pelican_signals,bus_stop_shifting,autobays,cycle_track,pickup_dropoff,pedestrian_only_zone,tree_pits,bollards,j_code,road_hierarchy,theme,overlapping theme,budget
West,J108,Rajajinagar 6th Block Junction,12.98,77.55382,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,J-A669,ARTERIAL,School,School,"70,00,000"
West,J109,Armugam Circle,12.94019,77.57735,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,PI-W-019,ARTERIAL,School,School,"6,00,000"
West,J110,South End Road KR Road Junction,12.93692,77.57387,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,J-A628,ARTERIAL,School,School | Safe Corridor,"50,000"
West,J111,Netkallapa Circle,12.94034,77.57334,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,PI-W-020,SUB_ARTERIAL,School,School,"2,00,00,000"
West,J112,Nagarbhavi BDA Complex,12.97973,77.51081,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,PI-W-021,SUB_ARTERIAL,School,School | Commercial ,"20,00,000"
West,J113,Kengeri Ring Road – 1st Main Road Junction,12.97426,77.50916,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,PI-W-022,SUB_ARTERIAL,School,School,"70,00,000"
West,J114,Arunachalam Road Junction,12.97209,77.50778,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,PI-W-023,SUB_ARTERIAL,School,School,"6,00,000"
West,J115,Bunt Solar Road Junction,12.97129,77.50848,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,PI-W-024,SUB_ARTERIAL,Commercial ,,"50,000"
West,J116,Deepa Complex Junction,12.9666,77.5051,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,J-A576,ARTERIAL,School,,"2,00,00,000"
West,J117,Ambedkar College – ORR Junction,12.96441,77.50496,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,PI-W-025,ARTERIAL,School,,"20,00,000"
West,J118,Nagarbhavi Main Road Junction,12.95966,77.51942,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,J-A570,ARTERIAL,Commercial ,Commercial ,"70,00,000"
West,J119,Terige Bhavan - 7th Main road,12.96353,77.51131,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,J-A712,ARTERIAL,Crash,Crash,"6,00,000"
South,J35,New Miko Road - Hosur Road junction,12.94408,77.60758,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,PI-S-001,ARTERIAL,School,School | Commercial ,"50,000"
South,J36,Hosur Road - Koramangala 80 feet road junction,12.93448,77.61237,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,PI-S-002,ARTERIAL,Commercial ,Commercial ,"2,00,00,000"
South,J37,Hosur Road - Nimhans entrance junction,12.93998,77.5977,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,PI-S-003,ARTERIAL,School,,"20,00,000"
South,J38,Jayadeva hospital Junction,12.91669,77.59997,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,J-A402,ARTERIAL,Transit, Commercial | Transit,"70,00,000"
South,J39,Bannerghatta road 7th cross road junction,12.90547,77.60196,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,PI-S-004,ARTERIAL,Commercial ,,"6,00,000"
South,J40,BTM Circle,12.91646,77.61015,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,J-A470,ARTERIAL,Commercial ,,"50,000"
South,J41,"Btm 7th cross Road , 16th main road junction",12.91399,77.61011,Yes,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,PI-S-005,SUB_ARTERIAL,School,School,"2,00,00,000"
South,J42,BTM 29th main road Junction,12.91625,77.61525,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,PI-S-006,SUB_ARTERIAL,None,,"20,00,000"
South,J43,BTM layout Tankshore road junction,12.91612,77.6169,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,PI-S-007,SUB_ARTERIAL,None,,"70,00,000"
South,J44,BTM Roopena Agrahara Road Junction,12.91299,77.62514,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,PI-S-008,SUB_ARTERIAL,Commercial ,,"6,00,000"
South,J45,Bannerghatta road - Ranka Colony Road,12.9035,77.6016,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,PI-S-009,ARTERIAL,Commercial ,Commercial ,"50,000"
South,J46,JP Nagar 9th cross Kanakpura road junction,12.91139,77.57299,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,J-A429,ARTERIAL,School,School | Commercial ,"2,00,00,000"
South,J47,JP Nagar 9th cross - 10th main road junction,12.91128,77.57492,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,PI-S-010,SUB_ARTERIAL,School,School,"20,00,000"
South,J48,JP Nagar 9th cross - Sarakki Main Road Junction,12.91098,77.57842,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,PI-S-011,SUB_ARTERIAL,School,School,"70,00,000"
South,J49,JP Nagar 9th cross - 30th main road Junction,12.91063,77.58179,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,PI-S-012,SUB_ARTERIAL,School,School,"6,00,000"
South,J50,JP Nagar 9th cross - 24th main road Junction,12.91056,77.58573,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,J-A430,ARTERIAL,Transit,,"50,000"
South,J51,JP Nagar 9th cross - 8th main road Junction,12.91032,77.59523,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,J-S228,SUB_ARTERIAL,School,School,"2,00,00,000"
South,J52,JP Nagar 9th cross - ORR Junction,12.91063,77.60013,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,J-A721,ARTERIAL,Commercial ,Commercial ,"20,00,000"
